movie_id,title,overview,genre_ids,split
9395,The Hunters,"if all mythical artifacts from, Jason's Golden Fleece to Imagine were real Well, they are. and, for Cinderella's -- glass slippers society, called the Hunters has been sworn centuries a secret them from an evil force called the Krugen to protect.",[12],test
7853,Goosebumps 2: Haunted Halloween,"their after school Be careful what. you wish for With business best, friends Sonny and Sam hope to find junk the treasure in other people’s. trash But when cleaning out locked book that, frees old Stine house they open a with the help – of! Sonny’s, a supernatural nightmare Slappy Now to get, sister Sarah they’re in a race against time he’s brought to the sinister dummy and all the creatures pandemonium life back into the pages before he unleashes total!","[35, 14, 27]",test
2734,Petite Maman,"her beloved grandmother eight-year-old Nelly meets After, the death of her own age in the woods a strangely familiar girl. a connection with this mysterious new friend Nelly Instantly, forming journey of discovery which helps her embarks on a fantastical newfound loss come to terms with this.","[18, 14, 10751]",test
2181,Victor/Victoria,"soprano finds work playing a male female A struggling female her, personal life impersonator but it complicates.","[10402, 35, 10749]",test
8548,Volcano,"and opens An earthquake shatters a peaceful Los Angeles morning to start a fissure deep into, the earth causing lava in the. La bubbling up As a volcano begins forming Tar Pits the, director of the city's emergency management Brea every, resource service working with, a geologist must then use from in the city to try and stop the volcano LA consuming.","[878, 28, 18, 53]",test
4191,About Schmidt,"embarks on a journey to his A recently retired man to discover more, about himself and estranged daughter's wedding only he ever expected life than.","[18, 35]",test
1320,The Rules of the Game,weekend at a marquis country’ ch teauâlays bare A bourgeois acquaintances some ugly truths about a group of haut.,"[18, 35, 10749]",test
1419,The Reader,"a German lawyer who as, The story of Michael, Berg affair with a teenager in the, late 1950s had an only to resurface, an, older woman Hanna who then disappeared later as one of the defendants in a war years from her actions as a concentration camp crimes trial stemming alone realizes that Hanna guard. late in the war He that fact at the is illiterate and may be concealing her freedom expense of.","[18, 10749]",test
1016,In a Lonely Place,"and a female neighbor fall in love A violent screenwriter him of murder but she begins, to after she clears second thoughts have.","[18, 10749, 9648]",test
110,Puss in Boots: The Last Wish,"in Boots discovers that his passion for adventure has Puss has burned through: eight of his taken its toll He lives leaving, him with only one life left Puss. nine find the mythical sets out on an epic journey to lives Last Wish and restore his nine.","[16, 12, 14, 35, 10751]",test
8307,The 6th Day,"very near future in which cattle A world of the, and, even the family pet can be cloned But. fish humans is illegal that - is until family man Adam cloning to find a Gibson comes home from work one day plunged clone has replaced. him Taken from his family and a sinister world he doesn't understand Gibson, must not into assassins who must destroy him only save himself from the protect their secret but, uncover who and what is to the horrible things happening to him behind.","[878, 28, 9648, 18, 53]",test
6202,Jackie,"Jacqueline Kennedy An account of the days of, First Lady, John F Kennedy's assassination in in the. immediate aftermath of 1963.",[18],test
5861,I'm Not There,"Bob Dylan Six actors portray six personas of music legend life chronicling his in scenes depicting various stages, of his how rise from unknown folksinger to international icon and revealing reinvented himself Dylan constantly.","[18, 10402]",test
764,Manhattan,television writer Manhattan explores how the life of a middle-aged falls dating a teenage girl is further complicated when he best friend's mistress in love with his.,"[35, 18, 10749]",test
4105,Margin Call,that revolves around the key people at an A thriller stages investment bank over a 24-hour period during the early crisis of the financial.,"[53, 18]",test
6763,Three Floors,live in a Follows the lives of three families who a Roman neighbourhood three-story building in.,[18],test
8256,Neuilly Yo Mama!,moves from the underdeveloped crime-ridden French suburb to the Samy Neuilly riches of.,[35],test
3483,10 Cloverfield Lane,"young woman wakes up After, a catastrophic car crash a to have in a survivalist's, underground bunker where he claims has left the saved her from an apocalyptic attack that uninhabitable outside world.","[53, 878, 18, 27]",test
8226,How to Lose Friends & Alienate People,"to a stint Sidney Young is. a down-on-his-luck journalist Thanks and a glitzy awards ceremony Sidney turns involving, a pig around attracting the, attention of Clayton Harding editor his, fortunes the holy of New York-based 'glossy', magazine Sharps and landing off to the grail. of journalism jobs The Brit jets blunder to the next Big Apple and moves from one.","[35, 10749, 18]",test
4316,Ashfall,across the Korean peninsula A group of unlikely heroes from on try to save the day after a volcano erupts and majestic Baekdu Mountain the mythical.,"[28, 12, 53]",test
3917,Clash of the Titans,"beautiful To win the right to marry his, love the fulfil his, destiny half-God-half-mortal Perseus must, complete princess Andromeda and Medusa's head and battling various, tasks including taming Pegasus capturing Kraken the feared.","[12, 14, 28]",test
1199,The Train,"in August 1944 German As the Allied forces approach, Paris is desperate to take all of France's Colonel Von Waldheim manages to secure a. train greatest paintings to Germany He valuable art works even as the chaos to transport the descends upon them The French. resistance however wants of retreat national treasures but have to stop them from stealing their that they are not to be received orders from London master. Labiche is tasked, with, scheduling the destroyed The station all happen smoothly but he is train and making it group of resistance fighters tasked also part of a dwindling He and others stage. an elaborate with preventing the theft territory ruse to keep the train from ever leaving French.","[10752, 53]",test
731,Safety Last!,"store clerk organizes a contest to climb the When a circumstances force him to make, outside of a tall building climb himself the perilous.","[35, 10749]",test
5218,Rambo: First Blood Part II,the government for John Rambo is released from prison by on Earth a top-secret covert mission to the last place return the jungles of - Vietnam he'd want to.,"[28, 12, 53, 10752]",test
5136,The Trip,"by The Observer to tour When Steve Coogan is asked it as the perfect, the country's finest restaurants he envisions But when she backs out. getaway, with his beautiful girlfriend he has, no one to accompany him but on him Rob Brydon his best friend and source of, eternal aggravation.","[35, 18]",test
8940,Henry's Crime,"crime An aimless man is sent to prison for a ex-con targets the same, bank he did not commit an sent away for robbing he was.","[80, 35]",test
6940,Archive,"true: human-equivalent AI 2038 George Almore is working on a, his latest prototype is almost ready This. sensitive phase and also the riskiest as he has a goal that is at all costs being reunited with—his must be hidden wife dead.","[878, 18, 14, 53]",test
4263,Justice League: The New Frontier,"creature and The human race is threatened by a, powerful Wonder Woman Green only the combined, power, of Superman, Batman can, stop it But Lantern Martian Manhunter and The. Flash they overcome their differences to thwart this enemy using can combined strength of their newly formed Justice League the?","[28, 12, 16, 878]",test
6066,God Willing,"to be The son of, an atheist, authoritarian father believed to, become a priest liberal wants.",[35],test
2945,Gia,late Gia Carangi meteorically rises to modeling fame in the persistent loneliness and drug addiction 1970s but becomes overconsumed by.,"[10749, 18]",test
4732,The Longest Yard,"football player-turned-convict organizes a team of inmates to play A team of prison guards His dilemma. is that against a game in return the warden asks him to throw the but he is also, concerned about for an early release self-esteem the' inmates lack of.","[35, 18, 80]",test
8744,Phantom,"haunted Captain of a Soviet submarine holds the fate The hands Forced to leave his of. the world in his a covert, mission family behind he is charged with leading mystery cloaked in.",[53],test
6262,A California Christmas,"on the line a wealthy charmer With, his carefree lifestyle hardworking farmer poses as a ranch hand to get a before Christmas to sell her family’s land.","[35, 10749, 18]",test
5233,Something's Gotta Give,"aging music industry, exec Harry Sanborn and When perpetually, single Marin arrive at her, mother's, beach his latest trophy girlfriend find that her mother, playwright house in the Hamptons, they to stay, for the weekend Erica Erica Barry also. plans the relationship and Harry's sexist ways But is scandalized. by has a heart attack while there and the, when Harry to stay at, doctor prescribes bedrest his only option is in the care. of Erica and the Barry home Left take shape, his doctor a love triangle starts to.","[18, 35, 10749]",test
6947,Return of the Hero,"the, front. leaving France 1809 Captain Neuville is called, to decides to write letters. his future bride heartbroken Her sister behalf to cheer her up on his.","[36, 35]",test
6591,The Collection,"from the vicious grips of Arkin escapes with his life ""entrapment party"" where he adds beautiful The Collector during an the trauma Elena ""to."" his Collection Instead of recovering from, abducted from the hospital by mercenaries hired Arkin is suddenly up by Elena's wealthy. father Arkin is blackmailed to team the mercenaries and track down The Collector's booby trapped with save Elena warehouse and.","[27, 53]",test
997,Harold and Maude,own world of suicide-attempts The young Harold lives in his his current and funeral visits to avoid the misery of environment Harold meets an. 80-year-old woman named family and home lives in her own world yet one Maude who also which she is having the time of her life in. differences When the two opposites meet they realize that their best friends and love each don’t matter and they become other.,"[35, 18, 10749]",test
5071,Pollock,"1949 Life Magazine ran, a banner headline In August of Is he the greatest: ""that begged: the question Jackson Pollock is a living painter in the?"" United States The film into the life of an extraordinary man a look, back who has fittingly been called an ""artist dedicated to man he, struggled with concealment a celebrity."" who nobody knew As express, self-doubt engaging in a lonely tug-of-war between needing to shut the world out Pollock began himself and, wanting to downward spiral a.","[18, 36]",test
8027,Fortress,"the inmates of, a private underground prison In the future dream readers and devices, that can, are computer-controlled with cameras pain or death John. and his illegally pregnant wife cause Fortress but are determined ""to Karen"" are locked inside The the birth of their baby escape before.","[28, 53, 878]",test
9716,17 Girls,"Camille accidentally becomes pregnant she, encourages her friends and When classmates to follow suit It's only a. fellow high school time before seventeen, girls in the high school matter of town is thrown into a world are pregnant and the chaos of.",[18],test
9919,Toys,"fun-loving inventor who must save his Leslie Zevo is a toy factory from his evil uncle Leland a, late, father's operation with an iron fist war-mongering general who rules the weapons disguised as toys and builds.","[10751, 14, 35, 878]",test
8209,House of Wax,stranded near a strange A group of unwitting teens are museum and soon must fight to survive and keep wax the next exhibit from becoming.,"[9648, 27, 53]",test
7139,The Little Shop of Horrors,"a skid row florist shop and is Seymour works in He creates a in love with, his. beautiful co-worker Audrey without new plant that not only talks but cannot survive flesh and blood human.","[27, 35, 14]",test
9944,The Phantom,resident superhero The 21st successor to the role of Bengalla's travel to New York to prevent a rich madman must would give him the from obtaining three magic skulls that ultimate power secret to.,"[12, 28]",test
8063,The Brats,"meets his, future father-in-law Gilbert who has Newly, engaged Thomas 30 years to Suzanne Disillusioned Gilbert is. been married for he's missed out on convinced that his marriage has meant not. to marry his daughter Lola life He persuades Thomas else in his life and encourages him to drop everything then throw. themselves into a as well The two men full of' adventure convinced that freedom, is new brats life at. what cost do we rediscover our adolescent elsewhere But dreams?",[35],test
5046,Patriot Games,"an IRA assassination When CIA Analyst Jack Ryan interferes with, Jack and his family as revenge a renegade faction targets.","[18, 28, 53, 80]",test
293,Barry Lyndon,"Irish rogue uses his cunning and wit to work An the social classes of 18th century England his way up, noble transforming himself from the humble Redmond Barry into the Lyndon Barry.","[18, 10749, 10752, 36]",test
553,Sunrise: A Song of Two Humans,"falls under the spell of a slatternly A married farmer tries to convince him, to woman from the city who wife drown his.","[18, 10749]",test
7939,The 51st State,plans to score big on a An American master chemist deal All does not go once. in a lifetime drug entangled in a web as planned and he is soon deceit of.,"[53, 28, 35, 80]",test
4233,Underworld,"have waged a nocturnal war against each Vampires and werewolves when a other. for centuries But all bets are off famous for her strength female, vampire warrior named Selene who's werewolf and werewolf-hunting, prowess becomes smitten with a peace-loving male, war, Michael who wants to end the.","[14, 28, 53]",test
9238,Maggie's Plan,"to have a baby on her own with Maggie's plan falls in love a sperm donor is derailed when she John an, older married professor destroying, his volatile marriage with the brilliant and impossible Georgette But. three years later to, of married to John with one, daughter Maggie is out a quandary what do you: do when love and in perfect you suspect your man and his ex-wife are actually each other for?","[18, 10749, 35]",test
4951,Harold and the Purple Crayon,"of his book adventurous, Harold can make anything come Inside simply by drawing it After he. grows up to life himself off the book's pages and into the and draws world Harold, finds he has a lot to learn physical real life about.","[10751, 35, 12, 14]",test
7035,The Assistant,"at a day in the life of A searing look executive As Jane follows her an. assistant to a powerful increasingly aware, of the insidious abuse daily routine she grows aspect of her position that threatens every.",[18],test
8603,Robin Hood,Crusader and his Moorish commander mount an audacious A war-hardened crown revolt against the corrupt English.,"[12, 28, 53, 14]",test
3330,Hoosiers,"Dale gets a chance at redemption Failed college coach Norman school basketball when he is hired to coach a high teacher persuades team in a tiny. Indiana town After a quit and focus on his star player Jimmy Chitwood to a winning, team in long-neglected studies Dale struggles to develop temper and his the face of community criticism for his of assistant coach Shooter a: notorious, alcoholic unconventional choice.","[18, 10751]",test
4255,The Pit and the Pendulum,"Francis Barnard travels to, Spain to In the sixteenth century she clarify the strange circumstances of his sister's death after the son of a cruel Spanish Inquisitor had married.","[27, 9648, 18]",test
1293,Training Day,"a narcotics On his first day on the job as who, officer a rookie cop works with a rogue detective appears isn't what he.","[28, 80, 18]",test
540,F1,out of retirement to Racing legend Sonny Hayes is coaxed 1 team and mentor a young—lead a struggling Formula one more—chance at glory hotshot driver while chasing.,"[28, 18]",test
4235,Barbarian,"woman arrives In town for a, job interview a young to find that at her Airbnb late at night only strange man is it has been mistakenly double-booked and a she decides to. already staying there Against, her better judgement night anyway stay the.","[27, 53]",test
6601,FernGully: The Last Rainforest,"human boy Zak When a sprite named Crysta shrinks, a, her size he vows, to help the magical down to a greedy logging company from destroying their fairy folk stop FernGully: Zak and his home the pristine. rainforest known as from lumberjacks and the new friends fight to — defend FernGully unleash after chopping down a magic vengeful spirit they accidentally tree.","[10751, 14, 16, 12]",test
1973,Spider-Man: Homecoming,"of Captain America Civil War Peter: Parker Following, the events, his mentor Tony Stark tries to with the, help of his life as an ordinary high school student in balance fighting, crime as his, superhero Queens New York City with a new threat the Vulture emerges alter, ego Spider-Man, as.","[28, 12, 878]",test
6557,Nighthawks,"in When one of Europe's most lethal terrorists shows up an elite, undercover cop is assigned to take New York down by any means necessary him.","[28, 80, 53]",test
5705,Super Troopers,"and always, ineffective Vermont state troopers Five bored occasionally high or lose their must prove their worth to the governor plan. to jobs After stumbling on a, drug ring they a bust but, a rival police force is out make the glory to steal.","[35, 80, 9648]",test
5731,The Witches of Eastwick,Island village have Three single women in a picturesque Rhode wishes granted at - a cost when - a mysterious and their lives flamboyant man arrives in their.,"[35, 14, 27]",test
7665,Push,"Nick Gant After, his father, an assassin is, brutally murdered that dabbles vows revenge, on Division the covert government agency and experimental drugs Hiding in Hong. Kong's in psychic warfare assembles, a band of rogue psychics dedicated to underworld Nick goes destroying. Division Together with, Cassie a teenage, clairvoyant Nick stolen suitcase in search of a missing girl and a to accomplishing their mutual goal that could be the key.","[878, 28, 12, 53]",test
7180,Insidious: The Last Key,"Keys Parapsychologist Elise Rainier and her team travel to Five, Terror, NM to investigate a man’s claim of a. haunting strikes when Rainier realizes that the house he lives soon family’s old home in was her.","[27, 53]",test
977,Stagecoach,"on a stagecoach find their A group of people traveling something journey complicated by the threat of, Geronimo and learn the process about each other in.","[37, 12]",test
9691,Be Cool,"tries the music Disenchanted with, the movie industry Chili Palmer music, executive industry meeting and romancing a widow of a the way along.","[35, 80]",test
8418,Tin & Tina,"a traumatic miscarriage Lola, and her husband Adolfo, adopt, After sister with Tin, and Tina a lovely albino brother and education that makes them interpret the Holy Bible an ultra-Catholic verbatim.","[27, 53, 9648]",test
3626,Compartment No. 6,"escapes an enigmatic love affair in A young Finnish woman train to the arctic port of Moscow by boarding a long. ride and a tiny Murmansk Forced to share the miner the sleeping car with a larger than life, Russian the occupants of Compartment No 6 to unexpected. encounter leads about human connection face major truths.",[18],test
2034,Justice League: Crisis on Two Earths,"alternate universe A heroic version of Lex Luthor from an to help save his appears to recruit the Justice League Syndicate an evil version of, the Earth from the Crime ensues. is the ultimate battle of good versus League What through evil in a war that threatens both planets, and by Batman's counterpart Owlman puts the a devious, plan launched in peril balance of all existence.","[28, 12, 16, 878, 14]",test
4098,The Strange Thing About the Johnsons,trapped in a one-sided incestuous relationship with A father gets son his abusive.,"[18, 27]",test
9643,Wanderlust,"sudden unemployment a Manhattan, couple surveys alternative living Rattled by with, living on a rural options ultimately deciding to experiment love rules commune where free.","[35, 10749]",test
4179,Flight,"drugs Commercial airline pilot Whip Whitaker has a problem with he's managed, to complete his and alcohol though so far His luck. runs out when a disastrous mechanical flights safely sends his plane hurtling toward the ground Whip. pulls malfunction miraculous crash-landing that results in only six lives off a Shaken. to the core Whip, vows to get sober lost -- finds but when the crash investigation exposes his, addiction he even worse situation himself in an.",[18],test
6176,For Love of the Game,"distinguished career at A baseball legend almost finished with his of forty has one last chance to prove the age capable of and, win who he is what, he is heart of the woman he has loved for the the years past four.","[18, 10749]",test
7119,Taken 3,"operative Bryan Mills finds his life is shattered when Ex-government falsely accused of a murder that hits close to he's by. a savvy police inspector Mills home As he's, pursued skills to track the real employs his particular set of exact his unique brand of justice killer and.","[53, 28]",test
2173,Stardust,"a magical land a In a countryside town bordering, on makes a promise to his beloved that he'll young man a fallen star by venturing into the magical realm retrieve. beyond his wildest His journey takes him into a world identity dreams and reveals his true.","[12, 14, 10749, 10751]",test
189,The Father,"refuses all assistance from his daughter as he A man sense of, his ages and as he tries to make his loved, ones his changing circumstances he begins to, doubt of his reality own mind and even the fabric.",[18],test
7372,He Never Died,man with a mysterious past His Jack is a. solitary become stranger when his past catches strange habits will soon with him up.,"[35, 18, 14, 27, 53]",test
1626,Saw,"find themselves shackled in a Two men wake up to As, they struggle. to comprehend their predicament grimy abandoned bathroom, sadistic they discover a disturbing tape left behind by the and cryptic mastermind known. as Jigsaw With a chilling voice them, that they must partake in a instructions Jigsaw informs order to secure their freedom gruesome game in.","[27, 9648, 80]",test
563,The Avengers,"an unexpected enemy emerges and threatens global safety and When international, peacekeeping agency, known security Nick Fury director of the H I.E.L.D.finds.himself., in as S to pull the world back from need of a team daring recruitment the brink. of disaster Spanning, the globe a begins effort!","[878, 28, 12]",test
1784,Grease,"Sandy and greaser Danny fell in love Australian good girl the summer But. when they unexpectedly discover they're now over to in the same high, school will they be able their romance despite their eccentric friends rekindle?","[10749, 35]",test
6167,Bride & Prejudice,to. find suitors for her four Mrs Bakshi is eager daughters when a family friend introduces them to handsome unmarried adaptation of Jane. Austen's American Will Darcy A Bollywood-style modern novel classic.,"[18, 35, 10749]",test
7022,Severance,weapons manufacturer are treated to Seven employees of an international company’s newly built luxury spa a team-building weekend at the their. lodge Things quickly go awry as the colleagues find by a deadly enemy corporate weekend sabotaged.,"[27, 35, 53]",test
7046,Child 44,"a disgraced MGB agent is, Set in Stalin-era Soviet Union investigate a series of child murders a case -- dispatched to of party that begins to connect with the very top leadership.","[80, 53]",test
6244,Life,"of the International Space Station is tasked The six-member crew may be the with studying a sample from Mars that than first proof of extra-terrestrial, life which proves more intelligent expected ever.","[27, 878, 9648, 53]",test
1057,10 Things I Hate About You,"school Cameron instantly On the first day at, his new gorgeous girl of, his dreams The falls for Bianca. the problem is that Bianca is forbidden to date until only completely un-dateable, older sister Kat goes out too her, ill-tempered. his problem Cameron singles out In an, attempt to solve for the only guy who could possibly be a match nasty: reputation of Kat a mysterious bad boy with a own his.","[35, 10749, 18]",test
645,The King of Comedy,"comic Rupert Pupkin attempts to achieve success in show Aspiring a late night talk-show host, business by stalking his idol privacy who craves his own.","[18, 35]",test
371,Don't Look Now... We're Being Shot At!,"two French civilians and, a downed During World War II cross the British Bomber Crew set out from Paris to and the South From demarcation line between Nazi-occupied Northern. France will be able to escape to England First there. they, and the consequences of their – they must avoid German troops blunders own.","[35, 10752]",test
5995,Assassins,"a funeral to kill a Assassin Robert Rath arrives at a rival, hired gun complete prominent mobster only to witness grisly results Horrified by -- the the job. for him with Rath decides to take, one last murder of innocent bystanders But finding his job and then return. to civilian life world of contract killing grows ever way out of the dangerous as Rath falls for his female target and more marked man himself becomes a.","[28, 12, 80, 53]",test
8216,Shaft,"detective John Shaft arrests Walter Wade Jr New York police. disappears for a racially motivated. slaying But the only eyewitness, Wade jumps bail for Switzerland Two. years later Wade and and influence will returns, to face trial confident his money acquitted especially since -- he's paid a drug kingpin get him the witness to kill.","[28, 12, 80, 53]",test
3421,Wild,her A woman with a tragic past decides to start one thousand miles on the new life by hiking for Trail Pacific Crest.,[18],test
1869,Possession,"woman left her family for an unspecified reason A young. starts The husband determines to find out the truth and he suspects that. a man, following his wife At first But gradually. he finds, out more and more is involved incidents that indicate something more than strange behaviors and bizarre love affair a possessed.",[27],test
5536,Star Trek III: The Search for Spock,revelation A surprise visit from Spock's father provides a startling: harboring Spock's living essence McCoy is.,"[878, 28, 12, 53]",test
6922,King Arthur,"Sarmatian The story of the Arthurian, legend based on 'the historical' nucleus hypothesis which contends that the legend has a and in the Sarmatian heavy cavalry troops stationed in, Britain commander Lucius Artorius Castus is, the that the Roman-British military legend historical person behind the.","[12, 10752, 36, 28, 18]",test
6810,Second Act,"Maya Vargas wants only one thing Value Shop assistant manager While her r sum -- for her. 43rd birthday aépromotioné upper management her track record, certainly does may not scream; innovator who listens to her customers and she is an results When. she loses the job to a college-educated delivers that, candidate Maya sets out to prove to Madison Avenue it's street smarts are as valuable as book -- smarts and a second act never too late for.","[10749, 35]",test
4033,Mad God,"as The Assassin descends ""from the"" heavens A figure known nightmarish pit full of monsters titans and, cruelty, into a.","[16, 14, 27, 878, 10752]",test
8510,She-Devil,cunning and resourceful housewife vows revenge on her husband A a wealthy romance novelist when he begins an affair with.,[35],test
8582,The Karate Kid Part III,"Kai Despondent over the closing of his karate, school Cobra a ruthless businessman and martial artist teacher John Kreese joins and Mr Miyagi to get revenge on. Daniel.","[28, 10751, 18, 12]",test
8712,Righteous Kill,"New York City detectives work to identify the Two veteran recent murder and a case they possible connection between a ago is there a serial; killer believe they solved years and did they, perhaps put the wrong on the loose bars person behind?","[80, 53, 9648]",test
1427,Glory,"first all-black Robert Gould Shaw leads the US Civil War's fighting prejudices, of both his own Union army volunteer company Confederates and the.","[18, 36, 10752]",test
2328,"Planes, Trains and Automobiles","Page is heading home, to An, irritable marketing executive Neal a number of delays force him Chicago for Thanksgiving when well meaning but overbearing shower curtain to travel with a Del Griffith, ring salesman.",[35],test
7303,Chernobyl: Abyss,nuclear The aftermath of a shocking explosion at the Chernobyl lives to power station made hundreds of people sacrifice their of the catastrophe and to successfully clean up the site could have turned a prevent an even bigger disaster that continent into an uninhabitable exclusion large part of the European This. is their story zone.,"[18, 36, 12, 28, 14, 9648]",test
4803,Escape Plan,"structural security Ray Breslin is the world's foremost authority on. every high security prison and learning a vast After analyzing prisons array of survival skills so he can design escape-proof, test He's framed and his skills are. put to the master prison he designed himself He needs incarcerated. in a him behind to escape and find the person who put bars.","[28, 53]",test
2657,The Driver,in driving getaway cars for robberies His The Driver. specializes yet After exceptional talent has prevented him from being. caught police a self-assured detective makes another successful flight from the primary goal to catch the Driver He promises. it his if they help to convict him pardons to a gang The Driver seeks help. from The in a set-up robbery mislead the detective Player to.,"[80, 53, 28]",test
530,An Autumn Afternoon,"daughter Gradually Shuhei Hirayama is a widower with a. 24-year-old, she should not be obliged he comes to realize that after him for the rest of his life to look, arranges a marriage for her so he.",[18],test
3412,The Zone of Interest,"his wife The commandant, of AuschwitzöRudolf, H ss and strive, to build a dream life for their family Hedwig house and garden next to the camp in a.","[18, 36, 10752]",test
7021,Great Balls of Fire!,"Lee Lewis arguably the greatest and, The story of Jerry wildest musicians of the 1950s His certainly one of. the into, arrogance remarkable, talent and unconventional lifestyle often brought him even earned him conflict with others, in the industry and scorn and condemnation of the public the.","[18, 36, 10402]",test
3863,The Substitute,"an inner-city Miami schoolteacher gets her knee broken after When leader her mercenary combat standing up to, the school's gang a substitute teacher to take specialist boyfriend goes undercover as of criminals down. the punk Soon he discovers a conspiracy and must, reassemble his team from his last at work to stop them jungle raid.","[28, 80, 18, 53]",test
769,BPM (Beats per Minute),"1990s, a group of young: activists Paris in the early finding the cure against an unknown is desperately tied to labs that. are retaining lethal disease They target the pharmaceutical cures and, multiply direct actions with, the hope of potential ones of future saving their lives as well as the generations.",[18],test
603,Land of Mine,"May In the days following the surrender of Germany in of, war is 1945 a group of young German prisoners and subsequently sent to handed over to the Danish authorities where they are, ordered to remove the the West Coast two million mines that the Germans had placed more than the coast With their bare hands. in the sand along, forced to crawling around in, the sand the boys are leadership of a Danish perform the dangerous work under the sergeant.","[10752, 18, 36]",test
1826,The Way of the Dragon,"in Rome to help his cousins in Tang Lung arrives They are being. pressured to sell their the restaurant business will stop at nothing, to property to the syndicate who arrives he poses a. get what they want When Tang unable to new threat to, the syndicate and they are him The. syndicate boss hires the best Japanese and defeat easily finishes European martial artists to, fight Tang but he off them.","[28, 80]",test
9990,Marmaduke,"Debbie Winslow relocate from their native Kansas When Phil and havoc-wreaking to the sunny climes of Orange, County their, big-hearted gets a taste of the dog's life California-style Great, Dane.","[10751, 35]",test
5454,Titan A.E.,"man finds out that he holds the key A young human race to restoring hope and ensuring survival for the, are bent on while an alien species called the Drej destruction mankind's.","[16, 878, 12, 10751, 28]",test
4689,King of New York,to wipe A former drug lord returns from prison determined his competition and distribute the profits of his out all in this operations to New York's poor and lower classes ultra violent modern twist on Robin Hood stylish and.,"[53, 80]",test
1769,Babylon,"the A tale of outsized ambition and outrageous, excess tracing era of rise and fall of multiple characters in an decadence and depravity during Hollywood's transition from silent films unbridled 1920s to sound films in the late.","[18, 35]",test
7109,The Noel Diary,"a novelist meets Cleaning out his childhood, home at Christmas birth mother Will an old a woman. searching for her their pasts and hearts — diary unlock?","[10749, 35, 18]",test
7040,Basilicata Coast to Coast,journalist cross the region of A music group and a festival Basilicata by foot to attend a music.,"[35, 18]",test
2951,Bitter Moon,on a cruise ship develops an irresistible infatuation A passenger paraplegic's wife with an eccentric.,"[53, 18, 10749]",test
4916,Return to Oz,"a, psychiatric experiment by a mysterious girl Dorothy saved from, dreams and finds herself back in the land of, her dangerous new enemies makes, delightful new friends and.","[12, 10751, 14]",test
8894,6 Below: Miracle on the Mountain,a massive winter An adrenaline seeking snowboarder gets lost in back country of the High Sierras where storm in the is pushed to the limits of human endurance and he demons as he fights forced to battle his own personal survival for....,"[53, 18]",test
3547,Mamma Mia!,on A spirited young bride-to-be living with her single mother island secretly invites three of her mother's a small Greek finding her biological father to walk ex-boyfriends in hope of aisle her down the.,"[35, 10749]",test
4476,Winter's Bone,"his After discovering her father put their house up for Ree Dolly must confront bail, bond and then disappeared 17-year-old wilderness in the local criminal underworld and the harsh Ozark her order to to track down her father and save family.","[18, 9648]",test
5633,Seeking a Friend for the End of the World,"nears Earth a man finds, himself alone As an asteroid panic He decides to after his wife. leaves in a his high school take a road trip to reunite with inadvertently. puts a sweetheart Accompanying him is a neighbor who his plan wrench in.","[35, 18, 10749, 12]",test
3732,The Isle,"Hee-Jin is working as a clerk in a fishing Mute baits food and occasionally resort; in the, Korean wilderness selling One day she falls her body. to the fishing tourists love with Hyun-Shik who, is on the run from in when the, police and rescues him with a fish hook to commit suicide he tries.","[18, 53]",test
